timestamp,service,utime,stime,rss,cache,pgfault,rx,tx
1770768179.5135462,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768179.5135462,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768179.5135462,home-timeline-redis,4256,2300,207822848,51441664,355724,192427923,94244534
1770768179.5135462,kube-flannel,2325,1931,16764928,4096,7456126,0,0
1770768179.5135462,kube-proxy,455,150,14876672,0,168597,0,0
1770768180.5136366,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768180.5136366,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768180.5136366,home-timeline-redis,4256,2300,207822848,51441664,355724,192427923,94244534
1770768180.5136366,kube-flannel,2326,1932,16764928,4096,7457643,0,0
1770768180.5136366,kube-proxy,455,150,14876672,0,168597,0,0
1770768181.5137281,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768181.5137281,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768181.5137281,home-timeline-redis,4256,2300,207822848,51441664,355724,192427923,94244534
1770768181.5137281,kube-flannel,2326,1932,16764928,4096,7457643,0,0
1770768181.5137281,kube-proxy,455,150,14876672,0,168597,0,0
1770768182.5138247,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768182.5138247,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768182.5138247,home-timeline-redis,4256,2300,207822848,51441664,355724,192427923,94244534
1770768182.5138247,kube-flannel,2326,1932,16764928,4096,7457643,0,0
1770768182.5138247,kube-proxy,455,150,14876672,0,168597,0,0
1770768183.5139182,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768183.5139182,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768183.5139182,home-timeline-redis,4256,2300,207822848,51441664,355724,192427923,94244534
1770768183.5139182,kube-flannel,2327,1933,16793600,4096,7458278,0,0
1770768183.5139182,kube-proxy,455,150,14876672,0,168597,0,0
1770768184.5140216,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768184.5140216,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768184.5140216,home-timeline-redis,4257,2300,207822848,51441664,355724,192427923,94244534
1770768184.5140216,kube-flannel,2327,1933,16793600,4096,7458278,0,0
1770768184.5140216,kube-proxy,455,150,14876672,0,168597,0,0
1770768185.5141091,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768185.5141091,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768185.5141091,home-timeline-redis,4257,2300,207822848,51441664,355724,192427923,94244534
1770768185.5141091,kube-flannel,2327,1933,16793600,4096,7459796,0,0
1770768185.5141091,kube-proxy,455,150,14876672,0,168597,0,0
1770768186.514193,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768186.514193,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768186.514193,home-timeline-redis,4257,2300,207822848,51441664,355724,192427923,94244534
1770768186.514193,kube-flannel,2327,1933,16793600,4096,7459796,0,0
1770768186.514193,kube-proxy,455,150,14876672,0,168597,0,0
1770768187.5142946,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768187.5142946,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768187.5142946,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768187.5142946,kube-flannel,2327,1933,16793600,4096,7459796,0,0
1770768187.5142946,kube-proxy,455,150,14876672,0,168597,0,0
1770768188.5143998,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768188.5143998,post-storage-memcached,2687,6403,69181440,0,50985,462255592,4298903823
1770768188.5143998,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768188.5143998,kube-flannel,2327,1933,16801792,4096,7460413,0,0
1770768188.5143998,kube-proxy,455,150,14876672,0,168597,0,0
1770768189.5144856,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768189.5144856,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768189.5144856,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768189.5144856,kube-flannel,2327,1933,16801792,4096,7460413,0,0
1770768189.5144856,kube-proxy,455,150,14876672,0,168597,0,0
1770768190.5145872,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768190.5145872,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768190.5145872,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768190.5145872,kube-flannel,2328,1934,17178624,4096,7462032,0,0
1770768190.5145872,kube-proxy,455,150,14876672,0,168597,0,0
1770768191.5146856,user-timeline-redis,2978,2016,4640768,544768,10511,153987940,28148239
1770768191.5146856,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768191.5146856,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768191.5146856,kube-flannel,2328,1934,17178624,4096,7462032,0,0
1770768191.5146856,kube-proxy,455,150,14876672,0,168597,0,0
1770768192.5148125,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768192.5148125,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768192.5148125,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768192.5148125,kube-flannel,2328,1934,17178624,4096,7462032,0,0
1770768192.5148125,kube-proxy,455,150,14876672,0,168597,0,0
1770768193.5149148,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768193.5149148,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768193.5149148,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768193.5149148,kube-flannel,2328,1934,17195008,4096,7462652,0,0
1770768193.5149148,kube-proxy,455,150,14876672,0,168807,0,0
1770768194.5150158,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768194.5150158,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768194.5150158,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768194.5150158,kube-flannel,2328,1934,17195008,4096,7462652,0,0
1770768194.5150158,kube-proxy,455,150,14876672,0,168807,0,0
1770768195.5151126,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768195.5151126,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768195.5151126,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768195.5151126,kube-flannel,2328,1934,17203200,4096,7464170,0,0
1770768195.5151126,kube-proxy,455,150,14876672,0,168807,0,0
1770768196.5151901,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768196.5151901,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768196.5151901,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768196.5151901,kube-flannel,2328,1934,17203200,4096,7464170,0,0
1770768196.5151901,kube-proxy,455,150,14876672,0,168807,0,0
1770768197.5152998,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768197.5152998,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768197.5152998,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768197.5152998,kube-flannel,2328,1934,17203200,4096,7464170,0,0
1770768197.5152998,kube-proxy,455,150,14876672,0,168807,0,0
1770768198.5154014,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768198.5154014,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768198.5154014,home-timeline-redis,4257,2301,207822848,51441664,355724,192427923,94244534
1770768198.5154014,kube-flannel,2329,1934,17203200,4096,7464170,0,0
1770768198.5154014,kube-proxy,455,150,14876672,0,168807,0,0
1770768199.515482,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768199.515482,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768199.515482,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768199.515482,kube-flannel,2329,1934,17223680,4096,7464795,0,0
1770768199.515482,kube-proxy,455,150,14876672,0,168807,0,0
1770768200.5155795,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768200.5155795,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768200.5155795,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768200.5155795,kube-flannel,2330,1934,17252352,4096,7466323,0,0
1770768200.5155795,kube-proxy,455,150,14876672,0,168807,0,0
1770768201.5156748,user-timeline-redis,2979,2016,4640768,544768,10511,153987940,28148239
1770768201.5156748,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768201.5156748,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768201.5156748,kube-flannel,2330,1934,17252352,4096,7466323,0,0
1770768201.5156748,kube-proxy,455,150,14876672,0,168807,0,0
1770768202.5158038,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768202.5158038,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768202.5158038,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768202.5158038,kube-flannel,2330,1934,17252352,4096,7466323,0,0
1770768202.5158038,kube-proxy,455,150,14876672,0,168807,0,0
1770768203.515881,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768203.515881,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768203.515881,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768203.515881,kube-flannel,2331,1935,17252352,4096,7466937,0,0
1770768203.515881,kube-proxy,455,150,14876672,0,168807,0,0
1770768204.5159805,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768204.5159805,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768204.5159805,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768204.5159805,kube-flannel,2331,1935,17252352,4096,7466937,0,0
1770768204.5159805,kube-proxy,455,150,14876672,0,168807,0,0
1770768205.516078,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768205.516078,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768205.516078,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768205.516078,kube-flannel,2331,1935,17252352,4096,7466937,0,0
1770768205.516078,kube-proxy,455,150,14876672,0,168807,0,0
1770768206.5161774,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768206.5161774,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768206.5161774,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768206.5161774,kube-flannel,2331,1935,17256448,4096,7468456,0,0
1770768206.5161774,kube-proxy,455,150,14876672,0,168807,0,0
1770768207.5162668,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768207.5162668,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768207.5162668,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768207.5162668,kube-flannel,2332,1935,17256448,4096,7468456,0,0
1770768207.5162668,kube-proxy,455,150,14876672,0,168807,0,0
1770768208.5163639,user-timeline-redis,2979,2017,4640768,544768,10511,153987940,28148239
1770768208.5163639,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768208.5163639,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768208.5163639,kube-flannel,2332,1935,17256448,4096,7469078,0,0
1770768208.5163639,kube-proxy,455,150,14876672,0,168807,0,0
1770768209.516439,user-timeline-redis,2980,2017,4640768,544768,10511,153987940,28148239
1770768209.516439,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
1770768209.516439,home-timeline-redis,4258,2301,207822848,51441664,355724,192427923,94244534
1770768209.516439,kube-flannel,2332,1935,17256448,4096,7469078,0,0
1770768209.516439,kube-proxy,455,150,14876672,0,168807,0,0
1770768210.5165431,user-timeline-redis,2980,2017,4640768,544768,10511,153987940,28148239
1770768210.5165431,post-storage-memcached,2687,6404,69181440,0,50985,462255592,4298903823
